GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
movie-ticket-booking-system Maven Webapp,com.user.dao,UserDao,35,298,9,13,16,83,9,11,0,9
movie-ticket-booking-system Maven Webapp,com.movie.dao,MovieDao,253,336,18,10,63,76,16,7,3,6
movie-ticket-booking-system Maven Webapp,com.util,DatabaseConnection,23,24,1,5,7,7,2,4,1,2
movie-ticket-booking-system Maven Webapp,com.filter,UserAuthenticationFilter,34,0,6,0,9,0,5,0,2,0
movie-ticket-booking-system Maven Webapp,com.filter,AdminFilter,57,0,10,0,17,0,9,0,4,0
movie-ticket-booking-system Maven Webapp,com.showtime.model,Showtime,51,120,0,0,10,44,7,20,7,20
movie-ticket-booking-system Maven Webapp,com.theatre.model,Theatre,18,63,0,0,2,21,2,13,2,13
movie-ticket-booking-system Maven Webapp,com.booking.dao,BookingDao,68,427,17,15,18,97,17,11,2,10
movie-ticket-booking-system Maven Webapp,com.showtime.dao,ShowtimeDao,29,477,12,16,6,110,12,11,1,8
movie-ticket-booking-system Maven Webapp,com.controller,GenerateTicketServlet,120,0,4,0,27,0,4,0,2,0
movie-ticket-booking-system Maven Webapp,com.controller,ProcessPaymentServlet,228,0,26,0,49,0,16,0,3,0
movie-ticket-booking-system Maven Webapp,com.controller,MovieServlet,99,0,4,0,26,0,5,0,3,0
movie-ticket-booking-system Maven Webapp,com.controller,ShowtimeServlet,373,0,43,0,99,0,37,0,13,0
movie-ticket-booking-system Maven Webapp,com.controller,AdminServlet,1135,0,60,0,319,0,58,0,22,0
movie-ticket-booking-system Maven Webapp,com.controller,PaymentServlet,134,0,2,0,31,0,4,0,3,0
movie-ticket-booking-system Maven Webapp,com.controller,Userservlet,385,0,40,0,95,0,27,0,7,0
movie-ticket-booking-system Maven Webapp,com.booking.servlet,ProcessBookingServlet,189,0,6,0,44,0,6,0,3,0
movie-ticket-booking-system Maven Webapp,com.booking.servlet,BookingServlet,178,0,14,0,58,0,10,0,3,0
movie-ticket-booking-system Maven Webapp,com.booking.servlet,MyBookingsServlet,60,0,2,0,18,0,3,0,2,0
movie-ticket-booking-system Maven Webapp,com.theatre.dao,TheatreDao,69,228,15,13,17,58,14,9,2,7
movie-ticket-booking-system Maven Webapp,com.movie.model,Movie,75,77,2,0,16,34,5,22,4,22
movie-ticket-booking-system Maven Webapp,com.user.model,User,29,101,1,1,4,38,5,20,4,20
movie-ticket-booking-system Maven Webapp,com.booking.model,Booking,85,75,0,0,21,22,8,21,8,21
